vwap,transactions,ticker,timestamp,open,high,low,close,volume,sma_close_20
197.6649,785670,AAPL,2009-12-10 00:00:00+00:00,199.5,199.7,196.12,196.43,17488200,215.94299999999998
182.8914,502853,AAPL,2008-05-27 00:00:00+00:00,182.8,186.43,181.84,186.43,28210900,213.24650000000003
209.7114,806841,AAPL,2019-08-01 00:00:00+00:00,213.9,218.03,206.74,208.43,54017922,212.3285
,542351,AAPL,2009-12-24 00:00:00+00:00,203.55,209.35,203.35,209.04,17888900,213.3515
,315069,AAPL,2019-02-26 00:00:00+00:00,173.71,175.3,173.17,174.33,17070211,210.72799999999998
221.1807,899697,AAPL,2025-03-11 00:00:00+00:00,223.805,225.8399,217.45,220.84,76137410,209.65949999999998
231.1904,430736,AAPL,2025-02-04 00:00:00+00:00,227.25,233.13,226.65,232.8,45067301,210.9085
209.7114,806841,AAPL,2025-05-12 00:00:00+00:00,210.97,211.2679,206.75,210.79,63775814,211.68449999999999
229.1702,344698,AAPL,2024-11-20 00:00:00+00:00,228.06,229.93,225.89,229.0,35169566,207.27800000000002
,1046525,AAPL,2009-12-30 00:00:00+00:00,208.83,212.0,208.31,211.64,14717300,207.785
234.0358,689184,AAPL,2024-10-18 00:00:00+00:00,236.18,236.18,234.01,235.0,46431472,210.0
,502342,AAPL,2024-03-01 00:00:00+00:00,179.55,180.53,177.38,179.66,73563082,208.929
,455391,AAPL,2018-07-25 00:00:00+00:00,193.06,194.85,192.43,194.82,16826483,206.5555
,424229,AAPL,2024-02-13 00:00:00+00:00,185.77,186.21,183.5128,185.04,56529529,199.85750000000002
,406761,AAPL,2019-10-07 00:00:00+00:00,226.27,229.93,225.84,227.06,30889269,206.35549999999998
175.2254,315847,AAPL,2018-03-19 00:00:00+00:00,177.32,177.47,173.66,175.3,32804695,207.1325
,417946,AAPL,2018-11-13 00:00:00+00:00,191.63,197.18,191.45,192.23,46882936,206.7485
168.4287,492112,AAPL,2019-02-01 00:00:00+00:00,166.96,168.98,165.93,166.52,32668138,203.9415
424.741,1366928,AAPL,2013-06-20 00:00:00+00:00,419.3,425.98,415.17,416.838,12761100,213.6449
87.3296,272781,AAPL,2009-03-10 00:00:00+00:00,84.87,89.17,84.36,88.6275,30152100,207.04127499999998
,363663,AAPL,2019-06-26 00:00:00+00:00,197.77,200.99,197.35,199.8,26067512,207.20977499999998
,668549,AAPL,2018-11-14 00:00:00+00:00,193.9,194.48,185.93,186.8,60800957,207.22827500000002
,528166,AAPL,2009-11-03 00:00:00+00:00,187.85,189.52,185.92,188.75,18662200,206.24427500000002
172.4417,466065,AAPL,2024-03-08 00:00:00+00:00,169.0,173.7,168.94,170.73,76267041,204.328775
,528166,AAPL,2009-10-19 00:00:00+00:00,187.85,190.0,185.55,189.86,33651100,205.10527499999998
,720916,AAPL,2023-07-13 00:00:00+00:00,190.5,191.19,189.78,190.54,41342338,203.590275
256.4092,511382,AAPL,2025-10-22 00:00:00+00:00,262.65,262.85,255.43,258.45,45015254,204.872775
228.5492,637304,AAPL,2025-02-07 00:00:00+00:00,232.6,234.0,227.26,227.63,39707224,205.714775
200.4652,770310,AAPL,2025-06-11 00:00:00+00:00,203.5,204.5,198.41,198.78,60989857,204.203775
,423036,AAPL,2023-04-06 00:00:00+00:00,162.43,164.9584,162.0,164.66,45390123,201.854775
200.8974,540140,AAPL,2010-01-22 00:00:00+00:00,206.78,207.5,197.16,197.75,31491700,199.992275
,250127,AAPL,2008-10-21 00:00:00+00:00,96.95,97.9,91.16,91.49,78345000,195.583775
249.8401,532893,AAPL,2024-12-19 00:00:00+00:00,247.5,252.0,247.0949,249.79,60882264,198.33227499999998
,553275,AAPL,2025-03-13 00:00:00+00:00,215.95,216.8394,208.42,209.68,61368330,199.564275
255.1677,673983,AAPL,2025-09-23 00:00:00+00:00,255.875,257.34,253.58,254.43,60275187,200.932775
203.4576,783994,AAPL,2025-05-21 00:00:00+00:00,205.17,207.04,200.71,202.09,59211774,202.272275
195.8891,744248,AAPL,2025-04-16 00:00:00+00:00,198.36,200.7,192.37,194.27,59732423,202.374275
212.4529,668917,AAPL,2025-03-14 00:00:00+00:00,211.25,213.95,209.58,213.49,60107582,204.722775
224.1093,619806,AAPL,2025-01-23 00:00:00+00:00,224.74,227.03,222.3,223.66,60234760,195.063875
,558788,AAPL,2019-08-30 00:00:00+00:00,210.16,210.45,207.2,208.74,21162561,201.0695
,656762,AAPL,2023-06-26 00:00:00+00:00,186.83,188.05,185.23,185.27,48088661,200.34300000000002
248.3661,908253,AAPL,2025-10-10 00:00:00+00:00,254.94,256.38,244.0,245.27,61999098,203.2665
159.1,634984,AAPL,2018-02-07 00:00:00+00:00,163.09,163.4,159.07,159.54,50852130,201.80599999999998
,667465,AAPL,2024-12-06 00:00:00+00:00,242.905,244.63,242.08,242.84,36870619,205.41150000000002
,403758,AAPL,2017-12-29 00:00:00+00:00,170.52,170.59,169.22,169.23,25643711,204.38
,363663,AAPL,2019-04-11 00:00:00+00:00,200.85,201.0,198.44,198.95,20900808,204.8005
,774355,AAPL,2007-11-09 00:00:00+00:00,171.15,175.12,165.21,165.37,54513600,200.1465
